Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
1,19801,Josh Allen,BUF,QB,17,4407,36,15,763,6,0,0,0,0,0,0,0,23.7,402.58
2,21681,Justin Herbert,LAC,QB,17,5014,38,15,302,3,0,0,0,0,0,0,0,22.4,380.76
3,4314,Tom Brady,TB,QB,17,5316,43,12,81,2,0,0,0,0,0,0,0,22,374.74
4,18890,Patrick Mahomes,KC,QB,17,4839,37,13,381,2,0,0,0,0,0,0,0,21.3,361.66
5,21682,Jonathan Taylor,IND,RB,17,0,0,0,1811,18,40,360,2,0,0,0,0,19.6,333.1
6,2593,Aaron Rodgers,GB,QB,16,4115,37,4,101,3,1,-4,0,0,0,0,0,20.8,332.3
7,9038,Matthew Stafford,LAR,QB,17,4886,41,17,43,0,0,0,0,0,0,0,0,19.4,329.74
8,18055,Dak Prescott,DAL,QB,16,4449,37,10,146,1,0,0,0,0,0,0,0,20,320.56
9,21693,Joe Burrow,CIN,QB,16,4611,34,14,118,2,0,0,0,0,0,0,0,19.6,314.24
10,21831,Jalen Hurts,PHI,QB,15,3144,16,9,784,10,0,0,0,0,0,0,0,20.8,312.16
11,20889,Kyler Murray,ARI,QB,14,3787,24,10,423,5,0,7,0,0,0,0,0,21.5,300.48
12,14252,Kirk Cousins,MIN,QB,16,4221,33,7,115,1,0,0,0,0,0,0,0,18.8,300.34
13,18882,Cooper Kupp,LAR,WR,17,0,0,0,18,0,145,1947,16,0,0,0,0,17.3,294.5
14,19562,Austin Ekeler,LAC,RB,16,0,0,0,911,12,70,647,8,0,0,0,0,17.1,273.8
15,13799,Ryan Tannehill,TEN,QB,17,3734,21,14,270,7,0,0,0,0,0,0,0,15.8,268.36
16,20932,Deebo Samuel,SF,WR,16,24,1,0,365,8,77,1405,6,0,0,0,0,16.4,261.96
17,17920,Carson Wentz,IND,QB,17,3563,27,7,215,1,0,0,0,0,0,0,0,15.2,258.02
18,16311,Derek Carr,LV,QB,17,4804,23,14,108,0,0,0,0,0,0,0,0,15.1,256.96
19,18858,Joe Mixon,CIN,RB,16,0,0,0,1205,13,42,314,3,0,0,0,0,15.4,245.9
20,14536,Russell Wilson,SEA,QB,14,3113,25,6,183,2,0,0,0,0,0,0,0,17.3,242.82
21,19781,Lamar Jackson,BAL,QB,12,2882,16,13,767,2,0,0,0,0,0,0,0,20,239.98
22,16041,Jimmy Garoppolo,SF,QB,15,3810,20,12,51,3,0,0,0,0,0,0,0,15.2,227.5
23,21768,Najee Harris,PIT,RB,17,0,0,0,1200,7,74,467,3,0,0,0,0,13.3,226.7
24,22496,Mac Jones,NE,QB,17,3801,22,13,129,0,0,0,0,0,0,0,0,13.2,224.94
25,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,21,0,81,1455,13,0,0,0,0,13.2,223.6
26,732,Matt Ryan,ATL,QB,17,3968,20,12,82,1,0,0,0,0,0,0,0,13.1,222.92
27,21685,Justin Jefferson,MIN,WR,17,35,0,0,14,0,108,1616,10,0,0,0,0,13.1,222.4
