Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,16847,David Johnson,ARI,null,30,RB,RB1,103.8,103.8,103.8,103.8,103.8,1.6
2,14967,Le'Veon Bell,PIT,null,30,RB,RB2,476,476,476,476,476,2.2
3,13291,Julio Jones,ATL,null,33,WR,WR1,43.1,43.1,43.1,43.1,43.1,5.3
4,11056,Antonio Brown,PIT,null,33,WR,WR2,78.1,78.1,78.1,78.1,78.1,6
5,11932,LeSean McCoy,BUF,null,33,RB,RB3,null,null,null,null,null,6.2
6,16524,Devonta Freeman,ATL,null,30,RB,RB4,777,777,777,777,777,6.5
7,16389,Odell Beckham Jr.,NYG,null,29,WR,WR3,68.6,68.6,68.6,68.6,68.6,6.8
8,16776,Melvin Gordon III,LAC,11,29,RB,RB5,null,null,null,null,null,7.4
9,16597,Mike Evans,TB,9,28,WR,WR4,null,null,null,null,null,8.4
10,17923,Ezekiel Elliott,DAL,7,26,RB,RB6,null,null,null,null,null,10.1
11,12845,A.J. Green,CIN,12,33,WR,WR5,null,null,null,null,null,10.4
12,16909,Jay Ajayi,MIA,null,28,RB,RB7,null,null,null,null,null,10.7
13,4556,Jordy Nelson,GB,null,36,WR,WR6,null,null,null,null,null,12.5
14,13124,DeMarco Murray,TEN,null,34,RB,RB8,null,null,null,null,null,13.4
15,18067,Jordan Howard,CHI,null,27,RB,RB9,306,306,306,306,306,14.8
16,17960,Michael Thomas,NO,6,29,WR,WR7,null,null,null,null,null,15.8
17,16771,Todd Gurley II,LAR,null,27,RB,RB10,null,null,null,null,null,16.8
18,10974,Rob Gronkowski,NE,null,32,TE,TE1,81,81,81,81,81,17.9
19,11270,Dez Bryant,DAL,null,33,WR,WR8,null,null,null,null,null,18.8
20,2593,Aaron Rodgers,GB,13,38,QB,QB1,null,null,null,null,null,19.8
21,16568,Brandin Cooks,NE,10,28,WR,WR9,null,null,null,null,null,19.9
22,16765,Amari Cooper,LV,13,27,WR,WR10,null,null,null,null,null,21.4
23,18803,Leonard Fournette,JAX,9,27,RB,RB11,null,null,null,null,null,22
24,13460,Doug Baldwin,SEA,null,33,WR,WR11,null,null,null,null,null,23.6
25,16127,Isaiah Crowell,CLE,null,29,RB,RB12,null,null,null,null,null,24.2
26,12386,Marshawn Lynch,LV,null,36,RB,RB13,null,null,null,null,null,24.6
27,18877,Christian McCaffrey,CAR,13,25,RB,RB14,null,null,null,null,null,26.7
28,18944,Kareem Hunt,KC,13,26,RB,RB15,null,null,null,null,null,27
29,4314,Tom Brady,NE,9,44,QB,QB2,null,null,null,null,null,27.4
30,18872,Dalvin Cook,MIN,7,26,RB,RB16,null,null,null,null,null,28
31,14005,T.Y. Hilton,IND,null,32,WR,WR12,null,null,null,null,null,29.6
